Element,A,A0,k1,k2,gamma,R,Z,N,e⁻
Neodymium,142,10326.987017988504,8.078,3.7289945553539017,0.678,4.627,60,82,60
Neon,20,694.2657564478634,8.275710204081632,3.454640534834623,0.661703448275862,3.0055,10,10,10
Neptunium,237,11638.034873010116,8.063362561576355,3.72408078817734,0.7321142857142857,4.596,93,144,93
Nickel,58,3906.2349540380433,9.051758339197747,3.4743038705137224,0.6852206896551724,3.775,28,30,28
Nihonium,286,14351.794067892673,8.075931034482757,3.7330344827586206,0.8105825771324865,4.546,113,173,113
Niobium,93,5841.536586425417,8.47221379310345,3.744856157635468,0.6835625615763548,4.275,41,52,41
Nitrogen,14,-631.7812508463328,7.326606474313864,2.928027163969036,0.586903448275862,2.5582,7,7,7
Nobelium,259,12856.330144542877,8.078016748768471,3.738045320197044,0.7736669950738916,4.570,102,157,102
Osmium,192,9166.668823453425,7.9853720508166965,3.761157894736842,0.6601052631578948,4.660,76,116,76
Oxygen,16,793.0459293373782,8.060900351864884,3.2901752287121746,0.6608620689655172,2.6991,8,8,8
Palladium,106,6186.314428038838,8.461954679802956,3.7171556650246305,0.6877300492610838,4.362,46,60,46
Phosphorus,31,1132.2392880796929,7.785941871921182,3.655137086558761,0.6843655172413793,3.188,15,16,15
Platinum,195,9175.81024418736,8.010660617059893,3.726312159709619,0.6525045372050817,4.649,78,117,78
Plutonium,244,12000.755860030687,8.063476847290639,3.72816157635468,0.7399428571428571,4.593,94,150,94
Polonium,210,10061.598367949711,8.04896551724138,3.7257172413793103,0.6797586206896552,4.621,84,126,84
Potassium,39,1520.430803581724,8.071766502463053,3.767615904292751,0.5848068965517241,3.4349,19,20,19
Praseodymium,141,10498.290020997954,8.088,3.7327295825771327,0.68,4.622,59,82,59
Promethium,145,11628.851030643786,8.068,3.7199709618874772,0.674,4.637,61,84,61
Protactinium,231,11297.88063340212,8.063974591651542,3.7184210526315793,0.717,4.601,91,140,91
Radium,226,10902.505062682822,8.059491833030853,3.7303920145190563,0.6914664246823956,4.612,88,138,88
Radon,222,10709.25493526184,8.063343012704173,3.734762250453721,0.6913466424682395,4.610,86,136,86
Rhenium,187,8728.660104142975,7.983687840290381,3.706007259528131,0.6440526315789474,4.666,75,112,75
Rhodium,103,6167.644409659429,8.444856157635467,3.7103733990147787,0.6922699507389162,4.343,45,58,45
Roentgenium,282,14139.006120949816,8.077404718693284,3.7312558983666064,0.8042431941923776,4.550,111,171,111
Rubidium,85,6715.722708580954,7.827737508796623,3.681722308233638,0.6909172413793103,4.203,37,48,37
Ruthenium,102,6105.76445902253,8.476004926108374,3.7208039408866993,0.6910049261083743,4.334,44,58,44
Rutherfordium,267,13227.783605787918,8.077845320197044,3.7531891625615765,0.7829822660098522,4.566,104,163,104
Samarium,152,12209.043818773804,8.058,3.7151433756805807,0.672,4.643,62,90,62
Scandium,45,1421.3074192314368,7.867415904292751,3.8389542575650952,0.656206896551724,3.545,21,24,21
Seaborgium,271,13573.817598630838,8.0779881773399,3.721322167487685,0.7859083743842364,4.561,106,165,106
Selenium,80,7692.703850264435,8.355522167487685,3.878247572132301,0.6751103448275861,4.005,34,46,34
Silicon,28,1039.89056545515,7.949786488388459,3.2630382828993665,0.6599241379310344,3.1224,14,14,14
Silver,107,5811.726895196006,8.495604355716877,3.775967332123412,0.6895480943738658,4.373,47,60,47
Sodium,23,911.8892756220288,8.152750879662209,3.3332387051372274,0.6957724137931034,3.043,11,12,11
Strontium,88,8262.81226946854,7.5396783954961295,3.6445462350457425,0.5839379310344828,4.219,38,50,38
